Timestamp,Jobcode,Imagename,Noise,G9,3,5,10,20,30,50,100,150,300,
15122015_21:15:29,1WHBQpLn,kochSnowflake.png,10,R9,26521,21800,16189,8308,4144,1512,378,168,42,
15122015_21:15:41,1WHBQpLn,kochSnowflake.png,11,R9,28271,23331,17175,8499,4169,1512,378,168,42,
15122015_21:15:52,1WHBQpLn,kochSnowflake.png,12,R9,30049,24977,18204,8735,4190,1512,378,168,42,
15122015_21:16:4,1WHBQpLn,kochSnowflake.png,13,R9,31775,26533,19190,8819,4191,1512,378,168,42,
15122015_21:16:15,1WHBQpLn,kochSnowflake.png,14,R9,33423,27987,20077,8940,4196,1512,378,168,42,
15122015_21:16:27,1WHBQpLn,kochSnowflake.png,15,R9,35360,29648,20790,9001,4196,1512,378,168,42,
15122015_21:16:39,1WHBQpLn,kochSnowflake.png,16,R9,36746,30844,21553,9092,4198,1512,378,168,42,
15122015_21:16:50,1WHBQpLn,kochSnowflake.png,17,R9,38727,32611,22494,9161,4195,1512,378,168,42,
15122015_21:17:1,1WHBQpLn,kochSnowflake.png,18,R9,40200,33962,23199,9202,4200,1512,378,168,42,
15122015_21:17:12,1WHBQpLn,kochSnowflake.png,19,R9,42451,35877,24193,9284,4200,1512,378,168,42,
15122015_21:17:23,1WHBQpLn,kochSnowflake.png,20,R9,43680,36876,24575,9284,4200,1512,378,168,42,
15122015_21:17:34,1WHBQpLn,kochSnowflake.png,30,R9,60801,50728,29963,9437,4200,1512,378,168,42,
15122015_21:17:44,1WHBQpLn,kochSnowflake.png,40,R9,76822,62721,33096,9445,4200,1512,378,168,42,
15122015_21:17:54,1WHBQpLn,kochSnowflake.png,50,R9,92142,73044,34957,9450,4200,1512,378,168,42,
15122015_21:18:3,1WHBQpLn,kochSnowflake.png,70,R9,121614,91061,36773,9450,4200,1512,378,168,42,
15122015_21:18:12,1WHBQpLn,kochSnowflake.png,100,R9,160191,110504,37595,9450,4200,1512,378,168,42,
15122015_21:18:20,1WHBQpLn,kochSnowflake.png,150,R9,215968,130263,37784,9450,4200,1512,378,168,42,
15122015_21:18:27,1WHBQpLn,kochSnowflake.png,200,R9,260665,140649,37799,9450,4200,1512,378,168,42,
15122015_21:18:34,1WHBQpLn,kochSnowflake.png,300,R9,324705,148674,37800,9450,4200,1512,378,168,42,
15122015_21:18:39,1WHBQpLn,kochSnowflake.png,400,R9,364861,150669,37800,9450,4200,1512,378,168,42,
15122015_21:18:45,1WHBQpLn,kochSnowflake.png,500,R9,389046,151089,37800,9450,4200,1512,378,168,42,
15122015_21:18:50,1WHBQpLn,kochSnowflake.png,600,R9,403436,151174,37800,9450,4200,1512,378,168,42,
15122015_21:18:55,1WHBQpLn,kochSnowflake.png,700,R9,411553,151200,37800,9450,4200,1512,378,168,42,
15122015_21:18:59,1WHBQpLn,kochSnowflake.png,800,R9,415733,151199,37800,9450,4200,1512,378,168,42,
15122015_21:19:4,1WHBQpLn,kochSnowflake.png,900,R9,418054,151200,37800,9450,4200,1512,378,168,42,
15122015_21:19:8,1WHBQpLn,kochSnowflake.png,1000,R9,419189,151200,37800,9450,4200,1512,378,168,42,
15122015_21:19:13,1WHBQpLn,kochSnowflake.png,1100,R9,419702,151200,37800,9450,4200,1512,378,168,42,
15122015_21:19:17,1WHBQpLn,kochSnowflake.png,1200,R9,419875,151200,37800,9450,4200,1512,378,168,42,
15122015_21:19:21,1WHBQpLn,kochSnowflake.png,1300,R9,419967,151200,37800,9450,4200,1512,378,168,42,
15122015_21:19:25,1WHBQpLn,kochSnowflake.png,1400,R9,419992,151200,37800,9450,4200,1512,378,168,42,
15122015_21:19:29,1WHBQpLn,kochSnowflake.png,1500,R9,419999,151200,37800,9450,4200,1512,378,168,42,
15122015_21:19:33,1WHBQpLn,kochSnowflake.png,1700,R9,420000,151200,37800,9450,4200,1512,378,168,42,
15122015_21:19:37,1WHBQpLn,kochSnowflake.png,1900,R9,420000,151200,37800,9450,4200,1512,378,168,42,
412016_14:32:20,oLtEyTtm,kochSnowflake.png,0,R9,8198,4343,1915,780,468,217,100,54,18,
412016_14:32:34,oLtEyTtm,kochSnowflake.png,1,R9,10016,6132,3628,2338,1767,1127,375,168,42,
412016_14:32:47,oLtEyTtm,kochSnowflake.png,2,R9,11967,8055,5380,3693,2704,1418,378,168,42,
412016_14:33:0,oLtEyTtm,kochSnowflake.png,3,R9,13542,9596,6803,4634,3203,1483,378,168,42,
412016_14:33:13,oLtEyTtm,kochSnowflake.png,4,R9,15466,11420,8364,5486,3559,1505,378,168,42,
412016_14:33:26,oLtEyTtm,kochSnowflake.png,5,R9,17404,13290,9918,6291,3802,1510,378,168,42,
412016_14:33:38,oLtEyTtm,kochSnowflake.png,6,R9,19141,14976,11195,6815,3949,1511,378,168,42,
412016_14:33:51,oLtEyTtm,kochSnowflake.png,7,R9,21157,16821,12661,7372,4056,1512,378,168,42,
412016_14:34:3,oLtEyTtm,kochSnowflake.png,8,R9,22753,18301,13731,7692,4109,1512,378,168,42,
412016_14:34:16,oLtEyTtm,kochSnowflake.png,9,R9,24516,19965,14843,8016,4140,1512,378,168,42,
412016_14:34:28,oLtEyTtm,kochSnowflake.png,10,R9,26380,21583,16077,8307,4157,1512,378,168,42,
412016_14:34:40,oLtEyTtm,kochSnowflake.png,11,R9,28317,23444,17284,8546,4166,1512,378,168,42,
412016_14:34:52,oLtEyTtm,kochSnowflake.png,12,R9,29689,24690,18014,8625,4175,1512,378,168,42,
412016_14:35:5,oLtEyTtm,kochSnowflake.png,13,R9,32084,26793,19365,8831,4198,1512,378,168,42,
412016_14:35:17,oLtEyTtm,kochSnowflake.png,14,R9,33397,27992,20023,8907,4191,1512,378,168,42,
412016_14:35:28,oLtEyTtm,kochSnowflake.png,15,R9,35078,29347,20795,9040,4195,1512,378,168,42,
412016_14:35:40,oLtEyTtm,kochSnowflake.png,16,R9,37093,31228,21829,9073,4198,1512,378,168,42,
412016_14:35:52,oLtEyTtm,kochSnowflake.png,17,R9,38929,32810,22743,9164,4200,1512,378,168,42,
412016_14:36:4,oLtEyTtm,kochSnowflake.png,18,R9,40545,34162,23330,9229,4200,1512,378,168,42,
412016_14:36:16,oLtEyTtm,kochSnowflake.png,19,R9,42319,35702,24044,9257,4200,1512,378,168,42,
412016_14:36:27,oLtEyTtm,kochSnowflake.png,20,R9,43644,36865,24612,9294,4199,1512,378,168,42,
