Timestamp,Jobcode,Imagename,Noise,G9,3,5,10,20,30,50,100,150,300,
15122015_12:55:4,mLVjktX7,canopy.png,15,R9,100073,51511,24309,9137,4198,1512,378,168,42,
15122015_12:55:17,mLVjktX7,canopy.png,16,R9,101120,52433,24807,9156,4198,1512,378,168,42,
15122015_12:55:32,mLVjktX7,canopy.png,17,R9,102887,53850,25513,9222,4199,1512,378,168,42,
15122015_12:55:47,mLVjktX7,canopy.png,18,R9,104120,54951,26054,9279,4200,1512,378,168,42,
15122015_12:55:58,mLVjktX7,canopy.png,19,R9,105491,55971,26535,9286,4200,1512,378,168,42,
15122015_12:56:10,mLVjktX7,canopy.png,20,R9,107006,57409,27235,9327,4200,1512,378,168,42,
15122015_12:56:53,mLVjktX7,checkers.png,0,R9,210000,75600,18900,5334,2100,756,294,84,42,
15122015_12:57:6,mLVjktX7,checkers.png,1,R9,210974,76571,19856,6112,2894,1309,378,168,42,
15122015_12:57:18,mLVjktX7,checkers.png,2,R9,211840,77425,20654,6663,3319,1441,378,168,42,
15122015_12:57:26,mLVjktX7,checkers.png,3,R9,212827,78387,21521,7175,3640,1491,378,168,42,
15122015_12:57:36,mLVjktX7,checkers.png,4,R9,213770,79308,22363,7623,3875,1507,378,168,42,
15122015_12:57:45,mLVjktX7,checkers.png,5,R9,214754,80254,23146,7997,3978,1510,378,168,42,
15122015_12:57:56,mLVjktX7,checkers.png,6,R9,215601,81072,23819,8223,4065,1511,378,168,42,
15122015_12:58:4,mLVjktX7,checkers.png,7,R9,216674,82077,24620,8480,4107,1512,378,168,42,
15122015_12:58:15,mLVjktX7,checkers.png,8,R9,217520,82892,25183,8627,4137,1512,378,168,42,
15122015_12:58:24,mLVjktX7,checkers.png,9,R9,218356,83691,25784,8817,4173,1512,378,168,42,
15122015_12:58:31,mLVjktX7,checkers.png,10,R9,219273,84508,26353,8906,4179,1512,378,168,42,
15122015_12:58:40,mLVjktX7,checkers.png,11,R9,220184,85355,26890,8991,4186,1512,378,168,42,
15122015_12:58:51,mLVjktX7,checkers.png,12,R9,221123,86226,27498,9095,4192,1512,378,168,42,
15122015_12:59:3,mLVjktX7,checkers.png,13,R9,222009,86988,27890,9149,4194,1512,378,168,42,
15122015_12:59:12,mLVjktX7,checkers.png,14,R9,222892,87805,28443,9218,4196,1512,378,168,42,
