# Aggregate Log Version: 1.01,,,,,,,,,,
# Log Name: logfiles/190_u100_aglog.csv,,,,,,,,,,
# Noise%, Dimension, Dim Std Err, Variance, Var Std Err, Sum(Abs(Diff), SAD Std Err, Sum(Abs(CenDiff)), SAC Std Err, Avg Diff Mean Squared, ADMS Ste
0.0,1.98873666444,4.24010126786e-17,0.000266913497652,6.5379850964e-21,0.0458433010262,0.0,0.035461555292,0.0,0.000233549310446,2.45174441115e-21
0.0001,1.98873670566,1.46117636076e-09,0.000266918568444,3.50807332425e-10,0.0458435602773,2.14558528444e-08,0.0354619692773,3.1145034314e-08,0.000233553747389,3.06956415872e-10
0.001,1.98873834927,3.83877386409e-08,0.000267011068655,2.51136061681e-09,0.0458463905094,9.86494213864e-08,0.0354649585079,1.10941770655e-07,0.000233634685073,2.19744053971e-09
0.002,1.98874130394,6.56359793766e-08,0.000267177271733,4.04084310056e-09,0.0458508186755,1.44766367395e-07,0.0354699789029,1.60545209981e-07,0.000233780112767,3.53573771299e-09
0.003,1.98874343236,7.85497914913e-08,0.000267300155114,4.47492007413e-09,0.0458552189466,1.61615219404e-07,0.0354748448302,1.89392564681e-07,0.000233887635725,3.91555506486e-09
0.004,1.98874449473,7.99981912281e-08,0.00026739335012,5.32806434138e-09,0.0458593946404,2.02247990135e-07,0.0354785354259,2.36088447415e-07,0.000233969181355,4.66205629871e-09
0.005,1.98874627849,9.17616243134e-08,0.000267506467497,5.88487978702e-09,0.0458640824485,2.38828363656e-07,0.0354829205276,2.52388135451e-07,0.00023406815906,5.14926981365e-09
0.006,1.9887479907,1.15721992253e-07,0.000267657713837,7.02247859249e-09,0.0458684196735,2.64059888237e-07,0.035488049226,2.91984487161e-07,0.000234200499607,6.14466876843e-09
0.007,1.98875069213,1.38613110931e-07,0.000267866438923,7.76897556162e-09,0.045873667462,2.85534189071e-07,0.0354950582624,3.22585230074e-07,0.000234383134057,6.79785361642e-09
0.008,1.988753121,1.52910029068e-07,0.000267992941378,8.48499269465e-09,0.0458764339916,2.98152072565e-07,0.0354997451814,3.32031549451e-07,0.000234493823706,7.42436860782e-09
0.009,1.98875538793,1.59596998075e-07,0.000268132099671,8.72956486747e-09,0.0458813736294,3.2291497065e-07,0.0355047298729,3.47016935237e-07,0.000234615587212,7.63836925903e-09
0.01,1.98875782834,1.65014073313e-07,0.00026828999583,9.51169275582e-09,0.0458857246875,3.55958409732e-07,0.0355114579512,3.69990246137e-07,0.000234753746351,8.32273116134e-09
0.02,1.98877635635,2.06069622051e-07,0.000269641457186,1.28494308582e-08,0.0459367940789,4.83440015351e-07,0.0355619058601,5.66689059811e-07,0.000235936275037,1.1243252001e-08
0.03,1.98879389438,2.52670321722e-07,0.000271044010434,1.56657295398e-08,0.045990891997,5.91903431887e-07,0.0356179299035,6.92552551136e-07,0.00023716350913,1.37075133474e-08
0.04,1.98881292786,2.84904710661e-07,0.000272441193258,1.82461120289e-08,0.0460418564107,6.41927961855e-07,0.0356708874837,8.11583371525e-07,0.0002383860441,1.59653480253e-08
