# Aggregate Log Version: 1.00,,,,
# Log Name: logfiles/10fallleaf_100_aggregateLog.csv,,,,
# Noise%, Dimension, Dim Std Err, Variance, Var Std Err
0.0,1.35991502597,2.00846902162e-17,0.0202558667516,4.88169553865e-19
0.0001,1.34977207131,8.44706597198e-05,0.0180857155137,2.81267372366e-05
0.001,1.28570064683,0.000127727945912,0.0124724167612,2.41489245306e-05
0.002,1.25888812713,8.71061615971e-05,0.0195570332596,4.63511799698e-05
0.003,1.24630569233,6.59729876253e-05,0.0317628867719,6.65388568261e-05
0.004,1.24135103839,4.51123058213e-05,0.0455232113613,8.0213364866e-05
0.005,1.2391625804,3.60115108772e-05,0.0593110379977,8.94299864196e-05
0.006,1.23849570091,3.16824962798e-05,0.0722643482038,8.89116632704e-05
0.007,1.23853744262,3.04568805601e-05,0.0848622139641,9.21552176366e-05
0.008,1.23914129196,3.01553917963e-05,0.0969012392705,8.92151196099e-05
0.009,1.23975805905,2.72585879833e-05,0.107613646739,9.05234181411e-05
0.01,1.24068905988,2.53826417228e-05,0.117842013706,9.26804182384e-05
0.02,1.2498836321,2.00467990508e-05,0.19274926138,9.31600923271e-05
0.03,1.25682257943,1.36948013857e-05,0.237750271974,7.27167348976e-05
0.04,1.26281769696,1.13407310632e-05,0.267157936216,5.80014851041e-05
0.05,1.26873764554,1.11081088472e-05,0.28878589634,5.15080197475e-05
0.06,1.27486307819,1.16269249675e-05,0.305271775028,5.04659529132e-05
0.07,1.28117456385,1.19290470736e-05,0.318482907745,4.17619465442e-05
0.08,1.2876357656,1.27137735969e-05,0.32953778686,3.77603561269e-05
0.09,1.29411067246,1.30006962685e-05,0.339124113022,3.56129572034e-05
0.1,1.30061284666,1.3749811613e-05,0.347319659908,3.47697693909e-05
0.2,1.35890643327,1.34104701267e-05,0.401910729059,2.38377969628e-05
0.3,1.40349974959,1.13354590119e-05,0.430736412302,1.57767073992e-05
0.4,1.43811421244,1.12081634623e-05,0.446192034331,1.37730426766e-05
0.5,1.46618068138,9.6191142335e-06,0.453875349669,1.36014541155e-05
0.6,1.4894598408,8.99930530077e-06,0.456064699534,1.45369642617e-05
