# Aggregate Log Version: 1.00,,,,
# Log Name: logfiles/35owl_100_aggregateLog.csv,,,,
# Noise%, Dimension, Dim Std Err, Variance, Var Std Err
# logfiles/owl_edge/35owl/35owl_u035-20160313_204857.csv,,,,
# logfiles/owl_edge/35owl/35owl_u036-20160313_204900.csv,,,,
# logfiles/owl_edge/35owl/35owl_u037-20160313_204907.csv,,,,
# logfiles/owl_edge/35owl/35owl_u038-20160313_204918.csv,,,,
# logfiles/owl_edge/35owl/35owl_u039-20160313_204926.csv,,,,
# logfiles/owl_edge/35owl/35owl_u040-20160313_204933.csv,,,,
# logfiles/owl_edge/35owl/35owl_u041-20160313_204936.csv,,,,
# logfiles/owl_edge/35owl/35owl_u042-20160313_204938.csv,,,,
# logfiles/owl_edge/35owl/35owl_u043-20160313_204948.csv,,,,
# logfiles/owl_edge/35owl/35owl_u044-20160313_204949.csv,,,,
# logfiles/owl_edge/35owl/35owl_u045-20160313_204952.csv,,,,
# logfiles/owl_edge/35owl/35owl_u046-20160313_204956.csv,,,,
# logfiles/owl_edge/35owl/35owl_u047-20160313_205009.csv,,,,
# logfiles/owl_edge/35owl/35owl_u048-20160313_205021.csv,,,,
# logfiles/owl_edge/35owl/35owl_u049-20160313_205024.csv,,,,
# logfiles/owl_edge/35owl/35owl_u050-20160313_205025.csv,,,,
# logfiles/owl_edge/35owl/35owl_u051-20160313_205036.csv,,,,
# logfiles/owl_edge/35owl/35owl_u052-20160313_205039.csv,,,,
# logfiles/owl_edge/35owl/35owl_u053-20160313_205041.csv,,,,
# logfiles/owl_edge/35owl/35owl_u054-20160313_205046.csv,,,,
# logfiles/owl_edge/35owl/35owl_u055-20160313_205047.csv,,,,
# logfiles/owl_edge/35owl/35owl_u056-20160313_205049.csv,,,,
# logfiles/owl_edge/35owl/35owl_u057-20160313_205051.csv,,,,
# logfiles/owl_edge/35owl/35owl_u058-20160313_205054.csv,,,,
# logfiles/owl_edge/35owl/35owl_u059-20160313_205105.csv,,,,
# logfiles/owl_edge/35owl/35owl_u060-20160313_205106.csv,,,,
# logfiles/owl_edge/35owl/35owl_u061-20160313_205108.csv,,,,
# logfiles/owl_edge/35owl/35owl_u062-20160313_205110.csv,,,,
# logfiles/owl_edge/35owl/35owl_u063-20160313_205128.csv,,,,
# logfiles/owl_edge/35owl/35owl_u064-20160313_205137.csv,,,,
# logfiles/owl_edge/35owl/35owl_u065-20160313_205138.csv,,,,
# logfiles/owl_edge/35owl/35owl_u066-20160313_205138.csv,,,,
# logfiles/owl_edge/35owl/35owl_u067-20160313_205144.csv,,,,
# logfiles/owl_edge/35owl/35owl_u068-20160313_205153.csv,,,,
# logfiles/owl_edge/35owl/35owl_u069-20160313_205157.csv,,,,
# logfiles/owl_edge/35owl/35owl_u070-20160313_205207.csv,,,,
# logfiles/owl_edge/35owl/35owl_u071-20160313_205212.csv,,,,
# logfiles/owl_edge/35owl/35owl_u072-20160313_205228.csv,,,,
# logfiles/owl_edge/35owl/35owl_u073-20160313_205232.csv,,,,
# logfiles/owl_edge/35owl/35owl_u074-20160313_205235.csv,,,,
# logfiles/owl_edge/35owl/35owl_u075-20160313_205240.csv,,,,
# logfiles/owl_edge/35owl/35owl_u076-20160313_205240.csv,,,,
# logfiles/owl_edge/35owl/35owl_u077-20160313_205244.csv,,,,
# logfiles/owl_edge/35owl/35owl_u078-20160313_205308.csv,,,,
# logfiles/owl_edge/35owl/35owl_u079-20160313_205317.csv,,,,
# logfiles/owl_edge/35owl/35owl_u080-20160313_205325.csv,,,,
# logfiles/owl_edge/35owl/35owl_u081-20160313_205325.csv,,,,
# logfiles/owl_edge/35owl/35owl_u082-20160313_205328.csv,,,,
# logfiles/owl_edge/35owl/35owl_u083-20160313_205330.csv,,,,
# logfiles/owl_edge/35owl/35owl_u084-20160313_205354.csv,,,,
# logfiles/owl_edge/35owl/35owl_u085-20160313_205359.csv,,,,
# logfiles/owl_edge/35owl/35owl_u086-20160313_205414.csv,,,,
# logfiles/owl_edge/35owl/35owl_u087-20160313_205419.csv,,,,
# logfiles/owl_edge/35owl/35owl_u088-20160313_205423.csv,,,,
# logfiles/owl_edge/35owl/35owl_u089-20160313_205439.csv,,,,
# logfiles/owl_edge/35owl/35owl_u090-20160313_205503.csv,,,,
# logfiles/owl_edge/35owl/35owl_u091-20160313_205510.csv,,,,
# logfiles/owl_edge/35owl/35owl_u092-20160313_205520.csv,,,,
# logfiles/owl_edge/35owl/35owl_u093-20160313_205531.csv,,,,
# logfiles/owl_edge/35owl/35owl_u094-20160313_205607.csv,,,,
# logfiles/owl_edge/35owl/35owl_u095-20160313_205622.csv,,,,
# logfiles/owl_edge/35owl/35owl_u096-20160313_205627.csv,,,,
# logfiles/owl_edge/35owl/35owl_u097-20160313_205633.csv,,,,
# logfiles/owl_edge/35owl/35owl_u098-20160313_205637.csv,,,,
# logfiles/owl_edge/35owl/35owl_u099-20160313_205800.csv,,,,
# logfiles/owl_edge/35owl/35owl_u100-20160313_210000.csv,,,,
