# Aggregate Log Version: 1.01,,,,,,,,,,
# Log Name: logfiles/45fallleaf_g100_aglog.csv,,,,,,,,,,
# Noise%, Dimension, Dim Std Err, Variance, Var Std Err, Sum(Abs(Diff), SAD Std Err, Sum(Abs(CenDiff)), SAC Std Err, Avg Diff Mean Squared, ADMS Ste
0.0,1.07910902494,6.69489673872e-18,0.0175801925048,1.74346269237e-19,0.592853579912,1.22739773543e-17,0.305707722914,6.69489673872e-18,0.0153826684417,1.56911642314e-19
1.0,1.1312978263,3.07679140251e-05,0.0068968869468,1.54891651898e-05,0.39745121473,0.0010759879043,0.208114896774,0.00024993523644,0.00603477607845,1.35530195411e-05
2.0,1.19140747842,3.87663665185e-05,0.00431429336968,1.19122548226e-05,0.443203987711,0.00100089170523,0.241115846811,0.000349288575098,0.00377500669847,1.04232229698e-05
3.0,1.22426743353,5.48180807799e-05,0.00644088338023,1.36510679237e-05,0.571153550513,0.00110445944549,0.318968312526,0.000411190388959,0.0056357729577,1.19446844333e-05
4.0,1.24378915062,6.16175075709e-05,0.0150970943899,2.15283407308e-05,0.80973150989,0.00121473108135,0.416717883454,0.000557059988508,0.0132099575912,1.88372981394e-05
5.0,1.25528992221,6.23692343919e-05,0.0265590307241,2.48513359742e-05,1.03845454977,0.0011656003768,0.492811694531,0.000643219578298,0.0232391518836,2.17449189774e-05
6.0,1.26389026428,5.75175933844e-05,0.0394983547242,2.44265891613e-05,1.18874896777,0.00106695813988,0.563414466333,0.000558581615026,0.0345610603836,2.13732655161e-05
7.0,1.2692087651,5.63684289467e-05,0.053306300311,2.81041807906e-05,1.29521553686,0.00105126697844,0.625428076464,0.000564896614995,0.0466430127721,2.45911581918e-05
8.0,1.27173953606,6.31414311659e-05,0.0673787694862,2.95962890261e-05,1.37178651084,0.000976062137095,0.691471874213,0.000577474151687,0.0589564233004,2.58967528978e-05
9.0,1.27242674083,6.3842640444e-05,0.0811172951411,3.0249219336e-05,1.40347774267,0.00104207737205,0.764639112029,0.000450130553228,0.0709776332485,2.6468066919e-05
10.0,1.27380324882,5.81216602519e-05,0.0950884694267,3.54352699486e-05,1.46199076197,0.00126153569927,0.825210031025,0.000502059018666,0.0832024107484,3.1005861205e-05
15.0,1.28070645786,4.83135425341e-05,0.157635443809,4.95573339557e-05,1.63362186625,0.00152019738174,1.04235133835,0.000330186008286,0.137931013333,4.33626672112e-05
20.0,1.28253989996,4.60095620777e-05,0.204041609829,4.02988178005e-05,1.56327827803,0.000751109698653,1.18740113865,0.000325294482322,0.178536408601,3.52614655755e-05
