# Aggregate Log Version: 1.01,,,,,,,,,,
# Log Name: logfiles/40fallleaf_u100_aglog.csv,,,,,,,,,,
# Noise%, Dimension, Dim Std Err, Variance, Var Std Err, Sum(Abs(Diff), SAD Std Err, Sum(Abs(CenDiff)), SAC Std Err, Avg Diff Mean Squared, ADMS Ste
0.0,1.12791178476,2.67795869549e-17,0.00785520651613,6.9738507695e-20,0.402446916697,3.90535643092e-18,0.233385469067,0.0,0.00687330570162,6.10211942331e-20
0.0001,1.11646252896,9.1104935959e-05,0.00682703315408,1.95858100887e-05,0.386611996731,0.000453421101943,0.230595670045,0.000260611839384,0.00597365400982,1.71375838276e-05
0.001,1.04511014504,0.000136136275399,0.00689164374844,2.79708362953e-05,0.407015254801,0.000763952242122,0.285195055745,0.000560568900494,0.00603018827989,2.44744817584e-05
0.002,1.01667993112,9.31685767524e-05,0.0202898854987,7.09417499111e-05,0.640055860027,0.00103290693692,0.452774586186,0.000689833901727,0.0177536498113,6.20740311722e-05
0.003,1.00455989565,7.33154343251e-05,0.0416223356782,9.85872502278e-05,0.877959109735,0.00092413029465,0.617107418523,0.000690711380043,0.0364195437184,8.62638439494e-05
0.004,1.00031960481,4.96765351127e-05,0.0648329029355,0.000121227797191,1.06163830499,0.00094334764954,0.744904834299,0.000745825144141,0.0567287900686,0.000106074322542
0.005,0.999548614813,4.17423620481e-05,0.0874939588604,0.000128654026204,1.20500096551,0.000804427459103,0.84847370683,0.000694776945413,0.0765572140029,0.000112572272928
0.006,1.00020323243,3.91800103877e-05,0.108540078041,0.000125925944663,1.31657575561,0.000720132933103,0.933044555199,0.000601803160202,0.094972568286,0.000110185201581
0.007,1.00147357439,3.55151406617e-05,0.129085802837,0.000127213532368,1.40941981024,0.000711895996142,1.01440957268,0.000600482774535,0.112950077483,0.000111311840822
0.008,1.00354092331,3.60406668972e-05,0.148195879159,0.000128472967891,1.47939306484,0.000681924893565,1.0946270723,0.000631626896092,0.129671394264,0.000112413846905
0.009,1.00543734883,3.32945698706e-05,0.165599438865,0.000131111938498,1.53674848134,0.000627686731306,1.16560117061,0.00062449963911,0.144899509007,0.000114722946186
0.01,1.0078085256,3.10984914992e-05,0.181864218327,0.000134035030105,1.58069893939,0.000632869655533,1.22755801951,0.000566555190135,0.159131191036,0.000117280651342
0.02,1.03048232781,2.57736315025e-05,0.301902026782,0.00012454286152,1.74407738838,0.000430395367559,1.51430810263,0.000376308179122,0.264164273434,0.00010897500383
0.03,1.04870306233,1.87792558009e-05,0.372048112301,9.95378243477e-05,1.77061451606,0.0003027021532,1.62966118713,0.000260430743035,0.325542098263,8.70955963042e-05
